match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Home Win,0.509194016456604,13.0,0.07692307692307693,0.4322709395335271,5.619522213935852,11.707337945699692,0.509194016456604
Leeds United FC vs Wolverhampton Wanderers FC,Leeds United FC,Wolverhampton Wanderers FC,2026-04-18 14:00:00+00:00,Away Win,0.5675145983695984,6.2,0.16129032258064516,0.40622427578895326,2.51859050989151,12.10860822063226,0.5675145983695984
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Away Win,0.42657923698425293,5.6,0.17857142857142858,0.24800780841282435,1.3888437271118164,7.5480637343033505,0.42657923698425293
Burnley FC vs Manchester City FC,Burnley FC,Manchester City FC,2026-04-22 19:00:00+00:00,Draw,0.31109315156936646,7.0,0.14285714285714285,0.1682360087122236,1.1776520609855652,4.9068835874398555,0.509194016456604
Everton FC vs Liverpool FC,Everton FC,Liverpool FC,2026-04-19 13:00:00+00:00,Home Win,0.581375241279602,3.35,0.29850746268656714,0.2828677785930349,0.9476070582866669,10.080926151985818,0.581375241279602
Chelsea FC vs Manchester United FC,Chelsea FC,Manchester United FC,2026-04-18 19:00:00+00:00,Home Win,0.7259930968284607,2.28,0.4385964912280702,0.2873966056003905,0.6552642607688902,12.79813009314239,0.7259930968284607
Brighton & Hove Albion FC vs Chelsea FC,Brighton & Hove Albion FC,Chelsea FC,2026-04-21 19:00:00+00:00,Away Win,0.599145770072937,2.66,0.37593984962406013,0.22320592044887688,0.5937277483940125,8.941682957741152,0.599145770072937
Manchester City FC vs Arsenal FC,Manchester City FC,Arsenal FC,2026-04-19 15:30:00+00:00,Home Win,0.8539887070655823,1.83,0.5464480874316939,0.30754061963388835,0.5627993339300156,16.951787166566735,0.8539887070655823
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Away Win,0.42657923698425293,3.45,0.2898550724637681,0.1367241645204848,0.47169836759567274,4.813248648935436,0.42657923698425293
Tottenham Hotspur FC vs Brighton & Hove Albion FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,2026-04-18 16:30:00+00:00,Away Win,0.5848814845085144,2.48,0.40322580645161293,0.18165567805690147,0.4505060815811157,7.6099000267080354,0.5848814845085144
Nottingham Forest FC vs Burnley FC,Nottingham Forest FC,Burnley FC,2026-04-19 13:00:00+00:00,Draw,0.31109315156936646,4.5,0.2222222222222222,0.08887092934714425,0.39991918206214905,2.8565655861582075,0.509194016456604
Aston Villa FC vs Sunderland AFC,Aston Villa FC,Sunderland AFC,2026-04-19 13:00:00+00:00,Draw,0.3422539234161377,4.0,0.25,0.0922539234161377,0.3690156936645508,3.075130780537923,0.42657923698425293
Brentford FC vs Fulham FC,Brentford FC,Fulham FC,2026-04-18 11:30:00+00:00,Home Win,0.5788708329200745,2.16,0.4629629629629629,0.11590786995711155,0.25036099910736087,5.395711187658639,0.5788708329200745
Crystal Palace FC vs West Ham United FC,Crystal Palace FC,West Ham United FC,2026-04-20 19:00:00+00:00,Draw,0.3422539234161377,3.45,0.2898550724637681,0.05239885095236957,0.18077603578567514,1.84465342638444,0.42657923698425293
