match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Liverpool FC,Sunderland AFC,Liverpool FC,2026-02-11 20:15:00+00:00,Home Win,0.9457205533981323,5.75,0.17391304347826086,0.7718075099198715,4.437893182039261,23.35733253704874,0.9457205533981323
Wolverhampton Wanderers FC vs Chelsea FC,Wolverhampton Wanderers FC,Chelsea FC,2026-02-07 15:00:00+00:00,Home Win,0.7463911771774292,5.3,0.18867924528301888,0.5577119318944104,2.9558732390403746,17.185309529304504,0.7463911771774292
West Ham United FC vs Manchester United FC,West Ham United FC,Manchester United FC,2026-02-10 20:15:00+00:00,Home Win,0.8539887070655823,4.0,0.25,0.6039887070655823,2.415954828262329,20.132956902186073,0.8539887070655823
Manchester United FC vs Tottenham Hotspur FC,Manchester United FC,Tottenham Hotspur FC,2026-02-07 12:30:00+00:00,Away Win,0.599145770072937,5.0,0.2,0.399145770072937,1.995728850364685,12.473305314779282,0.599145770072937
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,5.8,0.1724137931034483,0.25416544388080464,1.474159574508667,7.677914450565974,0.42657923698425293
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Away Win,0.1374489814043045,17.5,0.05714285714285714,0.08030612426144737,1.4053571745753288,2.1293290523868618,0.581375241279602
Brighton & Hove Albion FC vs Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,2026-02-08 14:00:00+00:00,Away Win,0.599145770072937,4.0,0.25,0.349145770072937,1.396583080291748,11.638192335764568,0.599145770072937
Leeds United FC vs Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,2026-02-06 20:00:00+00:00,Away Win,0.5675145983695984,3.65,0.273972602739726,0.2935419956298724,1.0714282840490341,10.107814000462586,0.5675145983695984
Arsenal FC vs Sunderland AFC,Arsenal FC,Sunderland AFC,2026-02-07 15:00:00+00:00,Draw,0.28117579221725464,7.0,0.14285714285714285,0.1383186493601118,0.9682305455207825,4.0342939396699276,0.581375241279602
Liverpool FC vs Manchester City FC,Liverpool FC,Manchester City FC,2026-02-08 16:30:00+00:00,Home Win,0.7463911771774292,2.48,0.40322580645161293,0.34316537072581627,0.8510501194000244,14.375846611486898,0.7463911771774292
Burnley FC vs West Ham United FC,Burnley FC,West Ham United FC,2026-02-07 15:00:00+00:00,Home Win,0.509194016456604,3.45,0.2898550724637681,0.21933894399283588,0.7567193567752839,7.7216260895437125,0.509194016456604
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Away Win,0.42657923698425293,3.85,0.2597402597402597,0.16683897724399321,0.6423300623893737,5.634474231485735,0.42657923698425293
Tottenham Hotspur FC vs Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,2026-02-10 19:30:00+00:00,Away Win,0.5848814845085144,2.6,0.3846153846153846,0.20026609989312982,0.5206918597221375,8.135810308158398,0.5848814845085144
Fulham FC vs Everton FC,Fulham FC,Everton FC,2026-02-07 15:00:00+00:00,Home Win,0.6593955755233765,2.18,0.4587155963302752,0.20067997919310127,0.43748235464096075,9.26869395425764,0.6593955755233765
Crystal Palace FC vs Burnley FC,Crystal Palace FC,Burnley FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,Brighton & Hove Albion FC,2026-02-11 19:30:00+00:00,Draw,0.3422539234161377,3.7,0.27027027027027023,0.07198365314586747,0.26633951663970956,2.4661066355528662,0.42657923698425293
Manchester City FC vs Fulham FC,Manchester City FC,Fulham FC,2026-02-11 19:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
Chelsea FC vs Leeds United FC,Chelsea FC,Leeds United FC,2026-02-10 19:30:00+00:00,Home Win,0.7259930968284607,1.62,0.6172839506172839,0.10870914621117678,0.1761088168621064,7.101161970246224,0.7259930968284607
Newcastle United FC vs Brentford FC,Newcastle United FC,Brentford FC,2026-02-07 17:30:00+00:00,Home Win,0.5788708329200745,2.0,0.5,0.07887083292007446,0.15774166584014893,3.943541646003723,0.5788708329200745
